run_id,signal_date,next_date,code,name,v5_lane,entry_ask,max_executable_return_pct,policy_return_3pct,outcome_status,official
33619084738,2026-09-01,2026-09-02,096770,SK이노베이션,DIRECT_EVENT,135400,0.0739,-0.9601,EVALUATED,False
33620235904,2026-09-01,2026-09-02,047770,코데즈컴바인,MOMENTUM_DIGESTION,3910,3.4527,3.0,EVALUATED,False
,2026-09-02,2026-09-03,024060,흥구석유,MOMENTUM_DIGESTION,11550,,,PENDING,False
