variant,month,calendar_days,trade_days,stock_trades,wins,losses,win_rate_pct,compound_pct,mdd_pct,mean_trade_pct,worst_day_pct,weeks,eligible_weeks,weeks_ge2,weeks_lt2,weeks_ge2_pct,average_trade_days_per_week,minimum_trade_days_per_eligible_week,fallback_days,primary_days,fallback_share_pct,ambiguous_positions,missing_pair_rejections,complete,missing_result_days
return,2026-04,22,14,14,8,6,57.142857142857146,-6.371898920505714,-23.95747077265038,-0.25482720051583757,-19.51225382932167,5,5,4,1,80.0,2.8,1,6,8,42.857142857142854,0,0,True,0
win,2024-01,22,10,10,2,8,20.0,1.0427305719087787,-5.8928078141658125,0.14871751553668938,-1.8339663988312656,5,5,5,0,100.0,2.0,2,10,0,100.0,0,0,True,0
win,2024-02,19,9,9,4,5,44.44444444444444,3.7330594372511294,-3.57901019118102,0.43747246502486764,-2.2946808510638346,5,5,4,1,80.0,1.8,0,8,1,88.88888888888889,0,0,True,0
win,2024-03,20,9,9,5,4,55.55555555555556,2.4609460971749098,-1.1760951188986346,0.27712027266115796,-1.1760951188986233,4,4,4,0,100.0,2.25,2,8,1,88.88888888888889,0,0,True,0
win,2024-04,21,10,10,5,5,50.0,6.1768108243415165,-3.191475910881758,0.6221064031318162,-1.2598603839441556,5,5,5,0,100.0,2.0,2,9,1,90.0,0,0,True,0
win,2024-05,20,8,8,1,7,12.5,-8.135981502169843,-8.135981502169843,-1.051521880324088,-2.1023617153511527,5,5,4,1,80.0,1.6,0,7,1,87.5,0,0,True,0
win,2024-06,19,9,9,2,7,22.22222222222222,-6.716372638905765,-6.716372638905765,-0.76165483099144,-3.425,4,4,4,0,100.0,2.25,2,7,2,77.77777777777777,0,0,True,0
win,2024-07,23,13,13,7,6,53.84615384615385,-0.7932014208002269,-4.865871774548458,-0.052078520528653055,-2.877937649880091,5,5,5,0,100.0,2.6,2,8,5,61.53846153846154,0,0,True,0
win,2024-08,21,11,11,5,6,45.45454545454545,-5.239712647259276,-7.467406695143685,-0.479563009188379,-3.655032548823233,5,5,4,1,80.0,2.2,0,7,4,63.63636363636363,0,0,True,0
win,2024-09,18,11,11,5,6,45.45454545454545,-1.3772797621949606,-3.904002011430685,-0.1085106870778782,-1.9568047337278125,5,4,4,0,100.0,2.2,2,9,2,81.81818181818181,0,0,True,0
