signal_date,next_date,official_source,code,name,lane,quality,entry_ask,entry_bid,spread_pct,risk_rate,change_rate,digest_ratio,theme_breadth,leader_rank,directness_points,freshness_points,evidence_audit_pass,evidence_title,max_executable_return_pct,last_executable_return_pct,policy_return_pct,hit_3_exec,outcome_status
2026-09-04,2026-09-07,False,336260,두산퓨얼셀,THEME_LEADER,89.77,43950.0,43900.0,0.1138,0.022463,12.44,0.424,0.9285714285714286,1.0,0.0,0.0,False,,11.7179,10.5802,3.0,True,EVALUATED
2026-09-07,2026-09-08,False,034020,두산에너빌리티,THEME_LEADER,96.8,88000.0,87900.0,0.1136,0.058703,10.98,0.984,0.8666666666666667,1.0,15.0,3.0,True,두산에너빌리티(주) (정정)단일판매ㆍ공급계약체결,4.6591,4.6591,3.0,True,EVALUATED
2026-09-09,,False,096770,SK이노베이션,THEME_LEADER,93.47,153300.0,153200.0,0.0652,0.063192,11.23,0.6,1.0,2.0,8.0,9.0,False,"인니 부대사 ""청년 창업부터 CCS까지 장기 협력 기대""",,,,,PENDING
