round_trip_friction_pct,trades,mean_net_return_pct,sum_net_return_pct,compound_net_return_pct,positive_rate
0.0,4,2.466025,9.8641,10.228027,1.0
0.2,4,2.266025,9.0641,9.369915,1.0
0.3,4,2.166025,8.6641,8.942742,1.0
0.5,4,1.966025,7.8641,8.092152,1.0
