signal_date,code,name,market,snapshot_generated_at,snapshot_price,trade_value,hard_reject,failed_ids,grade,grade_status,directness_points,freshness_points,evidence_title,evidence_at,change_rate,digest_ratio,risk_rate,entry_time,entry_last,entry_ask,entry_bid,spread_pct,v5_status,v5_eligible,v5_lane,v5_size_band,v5_blockers,daily_pick,daily_rank,errors,next_date,first_time,first_last,first_bid,last_time,last_last,last_bid,max_last,max_bid,min_last,min_bid,max_trade_return_pct,max_executable_return_pct,last_executable_return_pct,positive_exec,hit_0_5_exec,hit_1_exec,hit_2_exec,hit_3_exec,open_observations,outcome_status,policy_return_3pct
2026-09-01,047770,코데즈컴바인,2,2026-09-01T19:33:15.612071+09:00,3950,62887727000,False,"[""S_CATALYST"",""C_LOCATION"",""ENTRY_STOP_AUTO"",""NEXT_DAY_PLAN_AUTO""]",A,CONFIRMED,0.0,0.0,,,12.54,0.849,0.088101,15:18,3905.0,3910.0,3905.0,0.1279,PASS,True,MOMENTUM_DIGESTION,QUARTER,[],True,1,[],2026-09-02,09:00,4030.0,4020.0,09:05,4055.0,4045.0,4055.0,4045.0,3890.0,3885.0,3.8412,3.4527,3.4527,True,True,True,True,True,6,EVALUATED,3.0
2026-09-02,024060,흥구석유,2,2026-09-02T18:59:20.942728+09:00,11570,104774565000,False,"[""S_CATALYST"",""C_LOCATION"",""C_WICK""]",B,CONFIRMED,0.0,0.0,,,13.32,0.459,0.00605,15:18,11550.0,11550.0,11530.0,0.1732,PASS,True,MOMENTUM_DIGESTION,BASE,[],True,1,[],2026-09-03,,,,,,,,,,,,,,,,,,,,PENDING,
