signal_date,next_date,code,name,lane,entry_ask,entry_bid,spread_pct,risk_rate,change_rate,digest_ratio,close_location,upper_wick,body_ratio,theme_breadth,leader_rank,follower_strong_count,directness_points,freshness_points,event_strength,evidence_title,evidence_audit_pass,trade_value,volume_ratio,proxy,max_executable_return_pct,last_executable_return_pct,policy_return_pct,hit_3pct
2026-08-25,2026-08-26,000720,현대건설,MOMENTUM_CONFIRMED,120700.0,120500.0,0.1657,0.06718309859154929,14.299242424242431,0.8738926055121568,0.8841463414634146,0.11585365853658537,0.725609756097561,1.0,3.0,2.0,14.0,10.0,2.0,원전株 동반 강세…한전기술 10%·현대건설 9%↑,False,244134096400.0,3.6255134152288266,False,4.5568,3.5626,3.0,True
2026-08-27,2026-08-28,267260,HD현대일렉트릭,MOMENTUM_CONFIRMED,822000.0,821000.0,0.1217,0.09860097323600973,12.141882673942694,0.32517951239281,0.9811320754716981,0.018867924528301886,0.8301886792452831,0.8717948717948718,3.0,2.0,13.0,3.0,2.0,"HD현대일렉트릭, EU 규제 틈타 친환경 GIS 공략…유럽 수주 노린다",True,170126874000.0,1.29490501890112,False,3.163,1.9465,3.0,True
2026-08-28,2026-08-31,096770,SK이노베이션,THEME_CONTINUATION,116900.0,116800.0,0.0855,0.047928082191780824,4.285714285714293,0.3038618706237309,0.6666666666666666,0.3333333333333333,0.5802469135802469,1.0,3.0,2.0,14.0,10.0,2.0,"SKIET, 합병 비율 부담에 이틀째 급락",False,143897833600.0,1.3155627294422567,False,1.882,1.6253,1.6253,False
2026-08-31,2026-09-01,096770,SK이노베이션,DIRECT_REACTED+THEME_CONTINUATION,125800.0,125700.0,0.0795,0.041772655007949126,7.613344739093253,0.45801495020883704,0.8504672897196262,0.14953271028037382,0.6074766355140186,1.0,1.0,1.0,14.0,10.0,2.0,"SK이노베이션, SK온 美 ESS 수주 호재에 8% 강세",True,216899076400.0,1.7966742896753007,False,6.1208,5.6439,3.0,True
