signal_date,next_date,code,name,lane,entry_ask,entry_bid,spread_pct,risk_rate,change_rate,digest_ratio,close_location,upper_wick,body_ratio,theme_breadth,leader_rank,follower_strong_count,directness_points,freshness_points,event_strength,evidence_title,evidence_audit_pass,trade_value,volume_ratio,proxy,proxy_outcome_status,signal_close_proxy,next_open_return_pct,next_high_return_pct,next_close_return_pct,proxy_policy_return_pct,proxy_hit_3pct
2026-07-02,2026-07-03,012450,한화에어로스페이스,DIRECT_UNREACTED,,,0.0,0.03978494623655914,2.29147571035746,0.6054041630226275,0.19801980198019803,0.7821782178217822,0.019801980198019802,0.4074074074074074,20.0,1.0,15.0,7.0,2.0,한화에어로스페이스(주) (정정)단일판매ㆍ공급계약체결,True,396935532000.0,1.464526680649951,True,DAILY_OHLC_PROXY,1116000.0,5.2867,6.6308,5.2867,3.0,True
2026-07-22,2026-07-23,006360,GS건설,MOMENTUM_CONFIRMED,,,0.0,0.04371134020618557,13.671875,0.38875084963725925,0.6559139784946236,0.34408602150537637,0.6344086021505376,0.8333333333333334,1.0,2.0,0.0,0.0,,,False,103397683500.0,1.6702294100239428,True,DAILY_OHLC_PROXY,29100.0,0.0,22.8522,18.2131,3.0,True
2026-07-28,2026-07-29,068270,셀트리온,DIRECT_UNREACTED,,,0.0,0.01161217587373168,-0.7274762171236682,1.0312323930103369,0.1346153846153846,0.8076923076923077,0.057692307692307696,0.024691358024691357,6.0,0.0,15.0,3.0,2.0,(주)셀트리온 투자판단 관련 주요경영사항(CTP13 SC(짐펜트라) 한국 임상 3상 시험계획 신청(류마티스 관절염 환자)),True,231712961400.0,2.2296873590346813,True,DAILY_OHLC_PROXY,177400.0,1.522,6.4262,1.4656,3.0,True
2026-07-29,2026-07-30,105560,KB금융,DIRECT_UNREACTED,,,0.0,0.01396002498438476,-3.087167070217922,0.5146247115186708,0.2827586206896552,0.3586206896551724,0.3586206896551724,0.17346938775510204,45.0,2.0,15.0,3.0,2.0,(주)KB금융지주 현금ㆍ현물 배당 결정,True,260389842000.0,1.0279298452827865,True,DAILY_OHLC_PROXY,160100.0,0.0,7.2455,4.5597,3.0,True
