scenario,days,stocks,wins,losses,win_rate,compound_pct,log_growth,mdd_pct,mean_trade_pct,worst_day_pct,profit_factor,eligible_weeks,covered_weeks,coverage,missing
base,94,94,71,23,0.7553191489361702,-23.183507917646097,-0.26375082823228996,-31.442822448112338,-0.16925537265618765,-22.6015873015873,0.8805765228758222,42,42,1.0,0
cost0.5,94,94,71,23,0.7553191489361702,-36.40847587801691,-0.45268999304533303,-39.02603456314873,-0.36925537265618763,-22.8015873015873,0.7481559885443866,42,42,1.0,0
cost1.0,94,94,28,66,0.2978723404255319,-60.41461797677237,-0.9267102767044895,-60.649372055526676,-0.8692553726561875,-23.3015873015873,0.4887966877662747,42,42,1.0,0
cap_open_gain_at_target,94,94,71,23,0.7553191489361702,-66.28940310045762,-1.087357950000564,-66.73585088930363,-1.0796922283823749,-22.6015873015873,0.23818902694867236,42,42,1.0,0
half_exposure,94,94,71,23,0.7553191489361702,-9.971594089256719,-0.10504494422525157,-15.854556061668157,-0.08462768632809382,-11.30079365079365,0.8805765228758222,42,42,1.0,0
optimistic_touch_order,94,94,71,23,0.7553191489361702,-23.183507917646097,-0.26375082823228996,-31.442822448112338,-0.16925537265618765,-22.6015873015873,0.8805765228758222,42,42,1.0,0
same_stocks_open_exit,94,94,34,60,0.3617021276595745,-36.05689553022341,-0.4471764906764869,-37.37620449839943,-0.3967128591197493,-19.82380952380952,0.7281755279786274,42,42,1.0,0
best_3_days_removed,94,94,68,23,0.723404255319149,-45.907064084501116,-0.6144665832361405,-49.25695599190458,-0.5659996914095146,-22.6015873015873,0.6006410305412252,42,42,1.0,0
best_5_days_removed,94,94,66,23,0.7021276595744681,-52.183364012466704,-0.737796573828198,-55.144574366885635,-0.7013759010888735,-22.6015873015873,0.5051220675323437,42,42,1.0,0
