max_positions,days,stocks,wins,losses,win_rate,compound_pct,log_growth,mdd_pct,mean_trade_pct,worst_day_pct,profit_factor,eligible_weeks,covered_weeks,coverage,missing
1,94,94,71,23,0.7553191489361702,-23.183507917646097,-0.26375082823228996,-31.442822448112338,-0.16925537265618765,-22.6015873015873,0.8805765228758222,42,42,1.0,0
2,94,144,67,27,0.7127659574468085,20.35083253175276,0.18524089580537093,-20.16072196941646,0.24569646624817873,-9.68199362520466,1.25632170813167,42,42,1.0,0
3,94,181,66,28,0.7021276595744681,18.242317423607023,0.16756587033982318,-15.585912954086389,0.21522232164178223,-6.886007678565864,1.2468260819087689,42,42,1.0,0
