input,calendar_days,trade_days,stocks,evaluated_trade_days,missing_days,wins,losses,hit3,mean_trade_pct,mean_calendar_pct,sum_pct,compound_pct,mdd_pct,worst_day_pct,best_day_pct,open_compound_pct,stop_lower_compound_pct,stop_upper_compound_pct,fixed_slots_compound_pct
legacy_parser,567,19,20,19,0,8,11,7,-0.6922294491045957,-0.02319640129274659,-13.152359532987315,-13.174759184322959,-19.644047094025773,-6.611044327573256,2.7,-0.045886880772894045,-20.917906879596572,-10.799745270460914,-5.047310899020962
corrected_parser,567,17,17,17,0,9,8,7,-0.45932474096191345,-0.01377164126340834,-7.808520596352529,-8.36077380835084,-17.418450241777727,-6.611044327573256,2.7,14.526632426241548,-1.4518575343037354,-1.4518575343037354,-2.667676172928435
