policy,d,m,stocks,names,codes,ret,open_ret,close_ret,stop_lower,stop_upper,fixed_slots_ret,stop_ambiguous_stocks,hit3,evaluated,n
v8_max3,2025-03-19,2025-03,1,모티브링크,463480,-6.611044327573256,-1.1264462809917328,-6.611044327573256,-3.3,-3.3,-2.203681442524419,0,0,True,2025-03-20
v8_max3,2024-02-28,2024-02,1,삼성생명,032830,-6.13090379008746,-1.3689990281827045,-6.13090379008746,-3.3,-3.3,-2.0436345966958203,0,0,True,2024-02-29
v8_max3,2024-01-02,2024-01,1,리노공업,058470,-4.55018435342227,-3.4328908851198876,-4.55018435342227,-3.4328908851198876,-3.4328908851198876,-1.5167281178074232,0,0,True,2024-01-03
v8_max3,2024-04-29,2024-04,1,한화솔루션,009830,-2.960539363889225,-0.3,-2.960539363889225,-3.3,-3.3,-0.9868464546297416,0,0,True,2024-04-30
v8_max3,2024-08-16,2024-08,1,한미반도체,042700,-2.492638997650742,-0.0650743931088435,-2.492638997650742,-2.492638997650742,-2.492638997650742,-0.8308796658835806,0,0,True,2024-08-19
v8_max3,2024-07-29,2024-07,1,현대차,005380,-2.452641878669281,-1.2784735812133128,-2.452641878669281,-2.452641878669281,-2.452641878669281,-0.8175472928897604,0,0,True,2024-07-30
v8_max3,2024-08-21,2024-08,1,녹십자,006280,-2.007317073170733,-0.3,-2.007317073170733,-2.007317073170733,-2.007317073170733,-0.669105691056911,0,0,True,2024-08-22
v8_max3,2024-11-18,2024-11,1,현대차,005380,-0.991244239631339,-0.3,-0.991244239631339,-0.991244239631339,-0.991244239631339,-0.33041474654377967,0,0,True,2024-11-19
v8_max3,2024-05-27,2024-05,1,삼성전자,005930,0.2181347150259086,-1.20673575129534,0.2181347150259086,0.2181347150259086,0.2181347150259086,0.07271157167530286,0,0,True,2024-05-28
v8_max3,2025-07-15,2025-07,1,삼성전자,005930,1.269858712715866,-0.3,1.269858712715866,1.269858712715866,1.269858712715866,0.4232862375719553,0,0,True,2025-07-16
